"V1","V2","V3","V4","V5","V6"
"1",937,981,49,671,9,66
"2",2609,1013,193,1330,35,148
"3",203433,22430,15808,15210,2489,13654
"4",2393,13472,84,180,14,605
"5",588,470,10,6,5,24
"6",1655,107,30,33,7,84
"7",1171,3362,29,43,13,285
"8",65129,6459,4764,1780,247,3781
"9",1907,270,10,23,3,105
"10",23771,3748,264,1447,113,1943
"11",44531,4070,358,604,107,1776
"12",10131,2051,79,576,22,666
"13",8693,2009,142,2246,106,600
"14",399,1091,9,13,11,103
"15",58577,4336,844,807,146,2822
"16",1975,6877,48,82,8,363
"17",1431,4840,64,398,57,433
"18",1135,5777,29,76,8,258
"19",3019,2145,11,33,4,379
"20",6180,1675,37,353,43,602
"21",1911,1058,9,24,5,158
"22",4784,778,75,46,5,234
"23",7853,1380,61,367,29,511
"24",487,6668,13,19,4,191
"25",4743,993,18,106,9,454
"26",370,252,3,10,5,50
"27",1804,4151,35,51,6,253
