"","V1","V2","V3","V4","V5"
"1",22,64,0,5,0
"2",29,53,0,2,0
"3",27,83,1,3,0
"4",31,99,0,14,0
"5",55,91,4,65,2
"6",103,104,15,69,0
"7",158,89,4,91,8
"8",138,92,8,82,0
"9",144,94,11,112,0
"10",148,68,7,106,0
"11",73,30,3,51,1
"12",50,40,0,32,1
"13",34,19,1,28,0
"14",8,21,0,9,0
"15",2,12,0,1,0
"16",2,16,0,0,0
"17",0,6,0,0,0
"18",3,0,0,0,0
"19",1,0,0,0,0
"20",112,50,0,52,0
"21",127,58,0,36,0
"22",114,81,0,29,2
"23",113,86,1,27,1
"24",106,56,24,84,4
"25",157,55,32,118,5
"26",338,64,53,148,7
"27",325,76,28,164,4
"28",301,110,25,184,6
"29",295,78,24,180,3
"30",226,78,20,150,0
"31",149,34,14,101,6
"32",86,30,2,66,0
"33",16,25,4,13,0
"34",7,13,0,5,0
"35",4,14,0,5,0
"36",6,4,0,0,0
"37",0,5,0,0,0
"38",0,3,0,0,0
"39",17809,4069,2165,2367,417
"40",17421,3190,2542,1872,377
"41",17383,3113,2049,2003,345
"42",17437,3219,1580,1926,312
"43",15310,4050,2083,1578,270
"44",15231,2700,2213,1228,207
"45",16455,2259,1476,1141,181
"46",16750,2447,1417,1195,164
"47",17405,2604,1298,1419,188
"48",18281,2252,1179,1384,141
"49",17039,1619,1089,1200,111
"50",13836,1171,732,984,103
"51",8547,682,442,728,58
"52",5008,549,254,524,35
"53",3349,362,183,434,48
"54",2534,271,98,353,44
"55",1688,103,97,231,14
"56",873,54,78,121,3
"57",511,12,45,31,0
"58",254,1894,19,21,7
"59",299,1814,35,30,0
"60",304,1616,41,20,0
"61",238,1544,16,19,9
"62",86,1091,0,3,0
"63",180,786,7,15,7
"64",188,782,10,19,0
"65",212,788,13,17,2
"66",281,896,6,23,7
"67",277,756,16,19,5
"68",335,568,15,23,0
"69",227,485,5,13,0
"70",125,386,3,19,0
"71",50,275,0,0,0
"72",34,245,0,2,0
"73",8,167,0,1,0
"74",12,98,0,2,0
"75",4,47,0,0,0
"76",10,25,0,0,0
"77",31,27,0,0,0
"78",29,40,4,0,0
"79",36,51,0,0,1
"80",49,42,0,0,3
"81",17,43,2,0,0
"82",19,13,1,0,0
"83",27,21,2,4,1
"84",36,22,0,11,2
"85",61,38,0,4,0
"86",81,52,0,6,0
"87",78,24,4,0,1
"88",51,20,0,0,0
"89",37,22,0,0,0
"90",11,20,0,0,0
"91",12,10,0,0,0
"92",7,6,0,0,0
"93",7,5,0,0,0
"94",2,0,0,0,0
"95",0,3,0,0,0
"96",89,18,0,5,0
"97",127,20,0,4,0
"98",96,23,1,1,1
"99",111,15,0,3,2
"100",60,9,8,7,1
"101",57,10,4,4,0
"102",99,13,7,5,0
"103",139,12,1,0,0
"104",146,14,3,6,1
"105",193,12,2,5,1
"106",203,19,6,0,1
"107",124,18,0,0,1
"108",72,9,5,4,0
"109",52,10,3,0,0
"110",23,3,0,0,0
"111",7,0,0,0,0
"112",0,1,0,1,0
"113",2,1,0,0,0
"114",5,1,0,0,0
"115",95,377,0,11,8
"116",114,416,12,8,0
"117",131,416,4,9,0
"118",108,415,7,19,0
"119",40,264,2,4,0
"120",75,144,0,2,28
"121",78,157,7,3,0
"122",105,194,5,8,0
"123",135,251,4,6,0
"124",143,227,7,7,0
