"","V1","V2","V3","V4","V5","V6"
"1",7,30,0,2,0,5
"2",11,25,0,0,0,2
"3",8,39,0,0,0,3
"4",16,56,0,7,0,5
"5",40,50,3,49,1,5
"6",69,70,9,46,0,4
"7",120,59,4,66,4,6
"8",105,57,7,65,0,3
"9",97,44,10,79,0,0
"10",90,36,5,60,0,5
"11",56,15,3,29,0,2
"12",31,16,1,19,2,2
"13",22,9,1,16,0,1
"14",4,10,0,6,0,0
"15",1,8,0,0,0,0
"16",1,9,0,0,0,2
"17",0,2,0,0,0,0
"18",2,0,0,0,0,0
"19",1,0,0,0,0,0
"20",5,27,0,1,0,4
"21",11,24,0,1,0,3
"22",10,39,1,1,0,4
"23",7,39,0,1,0,3
"24",9,35,1,13,0,1
"25",26,33,2,16,0,2
"26",31,28,0,15,1,1
"27",25,34,0,16,0,1
"28",43,53,1,31,0,0
"29",50,32,2,39,0,2
"30",15,15,0,20,1,0
"31",16,22,0,12,0,1
"32",10,9,0,12,0,0
"33",4,10,0,3,0,0
"34",1,4,0,1,0,0
"35",0,4,0,0,0,0
"36",0,2,0,0,0,1
"37",1,0,0,0,0,0
"38",0,0,0,0,0,0
"39",55,26,0,19,0,11
"40",56,27,0,10,0,8
"41",47,44,0,13,0,4
"42",51,42,1,12,1,6
"43",62,24,9,48,3,9
"44",95,31,19,71,4,8
"45",243,37,35,97,6,11
"46",222,41,25,105,3,9
"47",205,60,16,118,4,6
"48",203,46,15,107,2,8
"49",148,44,19,96,0,7
"50",95,17,14,54,3,2
"51",52,12,2,43,0,0
"52",10,9,4,11,0,0
"53",3,5,0,2,0,1
"54",2,6,0,1,0,0
"55",2,4,0,0,0,0
"56",0,1,0,0,0,0
"57",0,3,0,0,0,0
"58",36,17,0,20,0,7
"59",49,25,0,18,0,6
"60",56,31,0,12,1,5
"61",49,38,0,10,0,5
"62",34,26,10,28,1,3
"63",48,19,5,37,1,4
"64",79,22,11,35,1,3
"65",91,31,1,46,0,3
"66",84,46,8,56,1,3
"67",80,29,7,63,0,3
"68",68,30,0,48,0,3
"69",51,15,0,46,1,1
"70",34,17,0,23,0,0
"71",6,15,0,2,0,0
"72",2,6,0,3,0,1
"73",2,8,0,4,0,0
"74",4,0,0,0,0,0
"75",0,4,0,0,0,0
"76",0,0,0,0,0,0
"77",7705,1210,626,732,165,1638
"78",7723,1081,725,607,122,1079
"79",7902,1058,664,645,160,948
"80",8086,1062,566,706,156,943
"81",6963,1513,917,572,125,801
"82",7554,971,1113,444,89,335
"83",8150,793,677,396,82,231
"84",8285,926,665,457,92,235
"85",8421,938,725,579,80,244
"86",9090,807,559,529,67,218
"87",8573,603,449,476,50,200
"88",7229,388,331,369,44,133
"89",4403,198,186,276,22,60
"90",2453,180,96,214,17,42
"91",1598,124,90,158,15,35
"92",1139,79,40,117,16,21
"93",687,33,21,89,4,10
"94",340,15,16,43,0,11
"95",150,11,4,13,0,1
"96",6975,1161,599,680,156,1500
"97",7253,905,857,651,143,975
"98",7411,934,811,692,152,907
"99",7453,989,619,658,154,902
"100",6922,1388,714,579,132,823
"101",6739,1090,841,486,111,423
"102",7548,974,674,525,96,320
"103",7879,1038,682,563,86,263
"104",8359,1114,569,673,90,317
"105",8691,995,583,713,73,287
"106",8097,703,596,638,53,190
"107",6351,533,376,572,50,127
"108",3999,351,237,411,23,84
"109",2491,266,144,295,9,44
"110",1692,186,85,262,17,49
"111",1356,125,52,220,7,44
"112",976,53,68,131,3,23
"113",522,28,54,71,3,6
"114",357,0,42,18,0,2
"115",57,893,1,1,2,74
"116",90,881,5,11,0,64
"117",75,760,9,5,0,63
"118",63,729,8,1,2,49
"119",16,507,0,0,0,13
"120",82,380,5,5,3,9
"121",92,381,7,8,0,9
"122",106,394,7,9,2,5
"123",155,474,4,12,5,9
"124",156,387,14,14,1,7
"125",170,286,8,12,0,7
"126",126,232,2,10,0,11
"127",77,198,3,6,0,2
"128",30,139,0,0,0,2
"129",12,107,0,0,0,4
"130",2,83,0,0,0,1
"131",3,47,0,0,0,0
"132",2,21,0,0,0,0
"133",0,15,0,0,0,0
"134",74,880,1,2,0,53
"135",68,801,2,11,0,56
"136",93,758,9,5,0,55
"137",79,731,1,10,1,44
"138",44,523,0,2,0,18
"139",73,385,1,6,1,6
"140",76,380,1,8,0,6
"141",82,388,2,7,0,9
"142",101,411,1,6,1,8
"143",102,363,2,5,1,7
"144",152,275,2,11,0,7
"145",85,238,3,2,0,6
"146",51,184,0,12,0,0
"147",18,136,0,0,0,0
"148",14,134,0,2,0,3
"149",3,83,0,1,0,1
"150",6,49,0,2,0,3
"151",2,26,0,0,0,0
"152",10,11,0,0,0,0
"153",17,16,0,0,0,1
"154",10,24,3,0,0,1
"155",17,18,0,0,0,1
"156",20,25,0,0,0,2
"157",3,25,1,0,0,1
"158",8,7,1,0,0,1
"159",14,9,1,1,0,0
"160",22,14,0,1,0,1
"161",31,22,0,1,0,0
"162",49,28,0,1,0,0
"163",41,13,2,0,0,0
"164",30,8,0,0,0,0
"165",26,10,0,0,0,1
"166",7,10,0,0,0,1
"167",8,7,0,0,0,0
"168",7,1,0,0,0,0
"169",3,1,0,0,0,0
"170",0,0,0,0,0,0
"171",0,1,0,0,0,0
"172",11,10,0,0,0,1
"173",16,13,1,0,0,1
"174",16,30,0,0,1,1
"175",24,14,0,0,1,2
"176",12,15,1,0,0,1
"177",7,4,0,0,0,2
"178",13,13,1,1,1,0
"179",16,10,0,2,1,1
"180",28,16,0,1,0,1
"181",32,27,0,2,0,0
"182",35,12,2,0,1,0
"183",21,12,0,0,0,0
"184",9,11,0,0,0,1
"185",2,9,0,0,0,0
"186",4,3,0,0,0,0
"187",0,5,0,0,0,0
"188",1,1,0,0,0,3
"189",2,0,0,0,0,0
"190",0,2,0,0,0,0
"191",40,6,0,0,0,5
"192",47,4,0,1,0,4
"193",38,6,0,0,0,5
"194",59,5,0,1,1,4
"195",28,1,3,2,0,2
"196",25,3,3,1,0,1
"197",48,2,6,1,0,2
"198",67,7,1,0,0,1
"199",69,6,2,1,0,2
"200",104,2,2,1,1,3
"201",110,3,5,0,0,5
"202",65,6,0,0,0,3
"203",44,4,5,2,0,0
"204",33,4,0,0,0,1
"205",17,2,0,0,0,0
"206",4,0,0,0,0,0
"207",0,1,0,0,0,0
"208",2,1,0,0,0,0
"209",4,0,0,0,0,0
"210",38,4,0,1,0,5
"211",66,4,0,1,0,6
"212",48,6,1,1,1,4
"213",44,2,0,1,0,4
"214",28,2,3,3,1,4
"215",29,4,1,2,0,1
"216",45,5,0,2,0,4
"217",69,2,0,0,0,1
"218",73,4,0,5,1,2
"219",85,1,0,4,0,3
"220",85,3,0,0,1,5
"221",53,6,0,0,1,3
"222",28,5,0,2,0,0
"223",17,4,3,0,0,1
"224",6,1,0,0,0,0
"225",3,0,0,0,0,0
"226",0,0,0,1,0,0
"227",0,0,0,0,0,0
"228",1,1,0,0,0,0
"229",27,168,0,4,1,20
"230",31,202,1,1,0,21
"231",37,199,2,2,0,24
"232",41,183,5,1,0,23
"233",9,124,1,0,0,7
"234",30,80,0,1,2,3
"235",41,74,5,1,0,4
"236",50,100,3,1,0,5
"237",73,118,1,3,0,4
"238",64,126,5,2,0,6
"239",84,85,0,2,0,5
"240",52,48,0,2,0,6
"241",30,64,0,0,0,5
"242",19,46,0,0,0,1
"243",9,31,0,0,0,2
"244",5,24,0,0,0,2
"245",1,16,0,0,0,0
"246",3,4,0,0,0,1
"247",0,0,0,0,0,0
"248",29,172,0,5,3,17
"249",36,174,1,1,0,21
"250",34,175,2,1,0,24
"251",24,194,1,1,0,22
"252",19,117,1,1,0,7
"253",39,66,0,1,8,4
"254",26,74,1,1,0,4
"255",41,87,1,2,0,5
"256",52,126,1,2,0,4
"257",65,94,1,2,0,5
"258",71,89,0,2,0,4
"259",38,65,0,4,0,6
"260",31,41,0,0,0,3
"261",12,41,0,0,0,2
"262",5,29,0,0,0,2
"263",1,30,0,0,0,2
"264",7,16,0,0,0,2
"265",1,3,0,0,0,1
"266",7,4,0,0,0,0
"267",2789,432,210,56,17,411
"268",2750,330,225,55,11,314
"269",2650,308,165,74,10,256
"270",2737,284,226,89,15,222
"271",2527,412,366,75,17,215
"272",2632,256,480,81,12,96
"273",2965,239,221,65,14,87
"274",2786,241,145,56,8,73
"275",2804,306,130,42,10,78
"276",2942,217,89,41,11,71
"277",2829,198,81,49,4,62
"278",2370,128,109,34,1,47
"279",1464,65,42,29,10,26
"280",845,58,25,25,0,18
"281",524,36,18,8,0,13
"282",378,15,21,14,0,12
"283",189,20,9,6,0,2
"284",106,4,12,2,0,0
"285",47,0,0,0,0,0
"286",2672,369,246,63,19,427
"287",2452,297,290,61,12,312
"288",2485,326,240,82,11,251
"289",2449,291,280,69,14,199
"290",2378,359,327,77,10,186
"291",2299,286,361,78,21,109
"292",2547,273,216,86,11,130
"293",2518,270,154,103,11,80
"294",2597,306,112,107,7,118
"295",2615,318,116,119,5,68
"296",2471,268,119,102,6,88
"297",1841,172,109,90,3,47
"298",1133,96,43,39,0,42
"299",687,78,38,32,1,16
"300",472,58,18,22,0,10
"301",362,37,20,17,9,13
"302",279,19,13,3,0,6
"303",132,13,9,4,0,0
"304",108,3,0,0,0,5
"305",49,8,0,1,0,9
"306",35,10,1,0,0,5
"307",58,11,0,1,0,2
"308",55,12,0,3,2,5
"309",20,7,0,3,0,2
"310",42,6,1,1,0,2
"311",40,4,1,0,0,1
"312",69,10,0,0,0,2
"313",74,13,2,1,0,1
"314",102,9,0,0,0,1
"315",118,11,0,1,0,7
"316",105,18,0,3,0,4
"317",61,3,0,0,0,1
"318",46,3,2,0,0,0
"319",34,1,0,0,0,1
"320",27,6,0,0,0,1
"321",22,2,0,0,0,0
"322",6,0,0,0,0,0
"323",0,0,0,0,0,0
"324",38,10,0,0,0,11
"325",36,7,2,1,0,7
"326",45,10,0,1,0,4
"327",47,14,0,2,0,7
"328",38,5,0,1,0,7
"329",26,5,1,0,0,1
"330",48,3,1,1,1,1
"331",61,11,0,0,0,2
